Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 18 anos ou mais de idade 2010,Renda per capita 2010
Guariba (SP),73.63,16.9,10.55,671.34
Guarinos (GO),73.91,14.7,14.9,343.74
Guarujá do Sul (SC),75,13.6,6.81,759.66
Guarujá (SP),76.23,13.19,5.39,745
Guarulhos (SP),74.83,13.34,4.31,829.91
Guatambú (SC),74.37,14.5,11.06,687.32
Guatapará (SP),74.34,15.8,10.53,723.83
Guaxupé (MG),77.81,11.3,6.33,746.7
Guia Lopes da Laguna (MS),74.56,18.6,14.62,541.87
Guidoval (MG),75.22,15,11.71,512.85
Guimarães (MA),71.31,25.3,17.21,223.14
Guimarânia (MG),74.51,16.1,9.7,552.31
Guiratinga (MT),73.8,17.3,13.57,542.02
Guiricema (MG),73.74,17.4,13.58,469.56
Gurinhatã (MG),76.88,12.6,15.66,587.76
Gurinhém (PB),68.67,31.6,40.7,235.88
Gurjão (PB),68.76,31.3,22.31,288.53
Gurupá (PA),71.59,22.3,27.26,191.06
Gurupi (TO),75.6,12.7,6.84,778.9
Guzolândia (SP),73.49,17.2,14.44,537.05
Harmonia (RS),75.47,12.9,2.22,840.55
Heitoraí (GO),73.81,14.8,14,487.99
Heliodora (MG),74.29,16.4,13.81,474
Heliópolis (BA),69.88,27.8,34.97,241.36
Herculândia (SP),73.52,17.1,9.67,549.27
Herval D'Oeste (SC),76.51,11.6,5.1,799.29
Herval (RS),75.59,12,7.95,752.24
Herveiras (RS),72.5,16.4,10.74,516.11
Hidrolândia (CE),71.48,22.3,32.69,243.41
Hidrolândia (GO),74.64,13.7,7.54,651.41
Hidrolina (GO),74.46,13.9,12,461.13
Holambra (SP),77.66,10.1,5.72,1274.53
Honório Serpa (PR),73.44,14.9,10.21,443.83
Horizonte (CE),72.3,20.1,16.74,322.78
Horizontina (RS),76.47,10.9,3.03,1037.04
Hortolândia (SP),76.51,12.18,4.94,686.96
Hugo Napoleão (PI),71.57,23.2,34.28,214.09
Hulha Negra (RS),72.75,16,9.39,465.17
Humaitá (AM),72.47,18.9,18.54,382.13
Humaitá (RS),75.21,13.3,3.73,759.99
Humberto de Campos (MA),70.55,27.6,25.99,125.91
Iacanga (SP),76.03,12.2,7.31,712.15
Iaciara (GO),74.53,13.8,21.2,368.39
Iacri (SP),76.42,12.6,10.41,628.14
Iaçu (BA),66.81,38.2,27.31,311.24
Iapu (MG),74.12,16.7,17.59,427.85
Iaras (SP),75.87,13.4,8.22,497.81
Iati (PE),71.09,23.7,42.46,200.95
Ibaiti (PR),73.77,14.4,12.38,787.74
Ibarama (RS),72.5,16.4,7.19,572.6
Ibaretama (CE),70.52,25,37.54,199.63
Ibateguara (AL),66.06,43.6,42.28,199.68
Ibaté (SP),73.81,16.6,7.79,552.79
Ibatiba (ES),74.8,14.4,19.17,458.35
Ibema (PR),72.16,17.9,13.08,499.24
Ibertioga (MG),75.01,15.3,14.97,347.21
Ibiaçá (RS),78.28,9.4,7.05,940.93
Ibiaí (MG),72.71,19.1,20.28,269.24
Ibiá (MG),77.62,11.6,6.83,781.68
Ibiam (SC),74.2,14.7,6.62,786.22
Ibiapina (CE),71.04,23.5,28,258.57
Ibiara (PB),71.08,24.2,40.69,242.08
Ibiassucê (BA),72.32,20.8,22.48,350.98
Ibicaraí (BA),70.81,25,23.03,354.75
Ibicaré (SC),74.53,14.2,7.1,768.67
Ibicoara (BA),68.86,31,17.7,300.89
Ibicuí (BA),71.78,22.3,27.63,307.49
Ibicuitinga (CE),70.5,25,31.57,196.54
Ibimirim (PE),67.33,35.7,34.89,220.98
Ibipeba (BA),69.61,28.6,19.57,290.82
Ibipitanga (BA),70.42,26.1,30.38,249.32
Ibiporã (PR),74.26,14.6,7.89,706.25
Ibiquera (BA),71.28,23.6,32.37,199.55
Ibiracatu (MG),72.17,20.1,28.18,225.72
Ibiraci (MG),76.28,13.4,10.03,609.71
Ibiraçu (ES),75.08,14,8.64,764.33
Ibiraiaras (RS),75.09,12.6,6.32,795
Ibirajuba (PE),70.16,26.5,38,238.23
Ibirama (SC),75.87,12.4,3.9,844.25
Ibirapitanga (BA),69.87,27.8,34.91,261.88
Ibirapuã (BA),71.43,23.2,24.72,431.31
Ibirapuitã (RS),74.66,13.2,10.64,544.81
Ibirarema (SP),74.03,16.3,7.25,593.7
Ibirá (SP),75.48,14,8.92,803.36
Ibirataia (BA),72.33,20.8,31.11,278.69
Ibirité (MG),75.41,14.7,6.37,525.64
Ibirubá (RS),75.88,11.6,3.6,1062.3
Ibitiara (BA),69.61,28.6,25.09,244.68
Ibitinga (SP),75.76,13.6,5.76,791.99
Ibitirama (ES),74.24,15.1,20.38,353.86
Ibititá (BA),69.82,28,24.75,250.63
Ibitiúra de Minas (MG),73.14,18.4,12.16,479.81
Ibituruna (MG),74.39,16.3,11.41,426.36
Ibiúna (SP),74.91,16.03,9.23,624.55
Ibotirama (BA),71.78,22.3,19.47,337.12
Icapuí (CE),70.44,25.2,27.79,280.79
Icaraí de Minas (MG),72.96,18.7,16.9,277.4
Icaraíma (PR),72.51,16.3,12.89,525.92
Içara (SC),76.67,11.4,4.47,759.54
Icatu (MA),68.59,34.1,24.67,154.09
Icém (SP),73.34,17.4,7.3,690.78
Ichu (BA),71.23,23.8,15.2,296.17
Icó (CE),68.88,30,34.96,274.01
Iconha (ES),74.77,14.4,8.74,660.78
Ielmo Marinho (RN),70.93,24,30.42,204.5
Iepê (SP),73.85,16.6,8.71,623.96
Igaci (AL),71.45,25,41.03,241.17
Igaporã (BA),70.98,24.5,21.92,306.74
Igaraçu do Tietê (SP),75.3,14.3,10.05,590.77
Igaracy (PB),72.65,20,34.75,286.68
Igarapava (SP),75.08,13.5,8.56,1228.09
Igarapé-Açu (PA),69.55,28.3,16.87,293.71
Igarapé do Meio (MA),66.21,42.9,31.11,216.25
Igarapé Grande (MA),69.83,29.9,30.66,292.16
Igarapé (MG),75.63,14.4,7.82,570.58
Igarapé-Miri (PA),71.18,23.5,20.56,196.34
Igarassu (PE),71.83,21.7,15.12,384.1
Igaratá (SP),76.28,12.8,10.63,561.31
Igaratinga (MG),75.54,14.5,7.62,556.96
Igrapiúna (BA),72.32,20.8,26.87,269.34
Igreja Nova (AL),71.23,25.7,40.07,254.34
Igrejinha (RS),77.53,9.6,3.73,848.23
Iguaba Grande (RJ),75.44,13.5,4.46,818.01
Iguaí (BA),72.18,21.2,32.47,258.8
Iguape (SP),75.84,13.5,8.47,588.36
Iguaraci (PE),71.19,23.5,30.37,295.88
Iguaraçu (PR),74.95,12.8,10.33,678.32
Iguatama (MG),74.51,16.1,5.85,604.59
Iguatemi (MS),73.99,19.6,13.76,519.03
Iguatu (CE),73.48,17.2,24.89,434.67
Iguatu (PR),73.74,14.5,12.83,523.94
Ijaci (MG),75.37,14.8,7.36,495.95
Ijuí (RS),76.48,10.8,4.38,1066.65
Ilhabela (SP),75.56,12.8,5.51,794.57
Ilha Comprida (SP),74.36,15.7,5.29,608.83
Ilha das Flores (SE),69.1,30.4,27.55,195.64
Ilha de Itamaracá (PE),73.55,17.4,16.22,394.85
Ilha Grande (PI),67.48,36.3,28.59,221.81
Ilha Solteira (SP),77.24,11.5,4.5,1063.04
Ilhéus (BA),73.47,18,13.25,579.46
Ilhota (SC),77.95,9.8,5.63,853.29
Ilicínea (MG),74.61,15.9,10.14,500.79
Ilópolis (RS),76.94,11,7.09,884.57
Imaculada (PB),67.87,34.3,33.36,208.83
Imaruí (SC),75.01,13.6,12.89,516.73
Imbaú (PR),72.12,16.9,17.68,418.52
Imbé de Minas (MG),69.66,25,18.6,281.68
Imbé (RS),75.82,11.7,3.12,1359.66
Imbituba (SC),77.09,10.8,6.23,768.81
Imbituva (PR),74.66,13.2,6.24,553.65
Imbuia (SC),75.38,13,6.95,688.57
Imigrante (RS),75.61,12.7,1.37,928
Imperatriz (MA),73.17,19.52,11.67,613.87
Inaciolândia (GO),74.34,14.1,20.78,560.52
Inácio Martins (PR),70.91,18.9,11.95,385.92
Inajá (PE),67.66,34.5,37.7,182.73
Inajá (PR),73.44,14.9,15.53,538.69
Inconfidentes (MG),75.59,14.4,9.07,579.13
Indaiabira (MG),73.26,18.2,35.35,286.93
Indaial (SC),77.39,10.4,3.06,945.33
Indaiatuba (SP),75.22,13.37,3.55,1098.31
Independência (CE),70.51,25,30.93,262.34
Independência (RS),73.8,14.4,8.33,665.99
Indiana (SP),75.56,13.9,6.95,681.29
Indianópolis (MG),75.06,15.2,11.82,499.36
Indianópolis (PR),75.1,12.6,10.92,652.36
Indiaporã (SP),75.11,14.6,11.92,680.85
Indiara (GO),75.19,12.9,13.11,598.96
Indiaroba (SE),71.31,23.7,29.45,220.89
Indiavaí (MT),75.46,14.7,15.21,443.9
Ingaí (MG),76.45,13.2,8.7,602.08
Ingá (PB),71.07,24.2,39.27,282.85
Ingazeira (PE),70.96,24.1,28.97,286.41
Inhacorá (RS),73.43,15,11.23,448.48
Inhambupe (BA),70.43,26.1,27.62,254.99
Inhangapi (PA),69.88,27.2,17,245.7
Inhapi (AL),68.09,36,43.74,180.64
Inhapim (MG),74.72,15.8,16.3,434.81
Inhaúma (MG),75.71,14.3,9.14,477.55
Inhuma (PI),71.33,23.9,29.65,263.73
Inhumas (GO),75.49,12.5,10.54,697.81
Inimutaba (MG),73.61,17.6,13.32,389.93
Inocência (MS),75.76,16.5,14.43,633.12
Inúbia Paulista (SP),75.95,13.3,10.23,576.91
Iomerê (SC),78.44,9.2,3.11,873.9
Ipaba (MG),74.72,15.8,12.67,403.9
Ipameri (GO),74.39,14,10.37,666.96
Ipanema (MG),75.87,14,15.06,518.1
Ipanguaçu (RN),69.63,27.8,29.62,273.8
Ipaporanga (CE),70.93,23.8,37.28,182.11
Ipatinga (MG),76.85,13.22,5.3,862.91
Ipaumirim (CE),68.72,30.5,29.15,380.61
Ipaussu (SP),74.66,15.3,7.45,677.42
Ipecaetá (BA),71.53,23,28.6,186.54
Iperó (SP),73.86,16.6,5.32,551.75
Ipê (RS),74.88,12.9,6.62,856.32
Ipeúna (SP),75.7,12.6,6.13,785.15
Ipiaçu (MG),73.82,17.2,16.92,550.98
Ipiaú (BA),72.74,19.8,21.3,573.36
Ipiguá (SP),75.33,14.2,7.3,608.53
Ipirá (BA),69.89,27.7,29.68,274.88
Ipiranga de Goiás (GO),73.94,14.7,13.4,436.1
Ipiranga do Norte (MT),73.39,18,5.61,812.25
Ipiranga do Piauí (PI),70.89,25.2,24.25,261.12
Ipiranga do Sul (RS),76.94,10.3,3.33,1301.23
Ipiranga (PR),74.66,13.2,8.15,564.83
Ipira (SC),75.25,13.2,5.28,725.68
Ipixuna (AM),71.32,21.8,40.62,154.54
Ipixuna do Pará (PA),70.44,25.6,24.57,188.48
Ipojuca (PE),71.44,22.8,22.12,362.68
Iporã do Oeste (SC),75.81,12.5,3.53,815.06
Iporá (GO),75.41,12.6,12.67,757.39
Iporanga (SP),73.96,16.4,13.71,421.14
Iporã (PR),74.75,13,12.92,608.93
Ipuaçu (SC),72.4,17.6,12.12,530.81
Ipuã (SP),75.9,13.4,9.7,900.48
Ipubi (PE),67.72,34.3,32.47,231.47
Ipu (CE),70.69,24.5,30.53,301.38
Ipueira (RN),72.27,20.4,25.07,395.09
Ipueiras (CE),69.1,29.2,35.05,222.22
Ipueiras (TO),72.81,18.9,17.07,288.55
Ipuiúna (MG),76.98,12.4,12.65,719.24
Ipumirim (SC),76.18,12,5.34,837.81
Ipupiara (BA),69.16,30,17.04,258.3
Iracema (CE),68.97,29.7,28.37,328.61
Iracema do Oeste (PR),75.14,12.5,17.2,524.51
Iracemápolis (SP),76.76,11.2,3.6,808.74
Iracema (RR),73.61,15.9,31.57,261.18
Iraceminha (SC),75.71,12.6,7.58,663.24
Iraí de Minas (MG),75.84,14.1,9.21,642.98
Iraí (RS),74.12,14,10.03,564.49
Irajuba (BA),71.57,22.8,29.87,236.16
Iramaia (BA),69.37,29.4,26.41,234.91
Iranduba (AM),72.94,17.8,14.38,349.23
Irani (SC),75.84,12.4,7.84,686.25
Irapuã (SP),75.63,13.8,10.6,579.58
Irapuru (SP),75.33,14.2,10.86,589.82
Iraquara (BA),69.95,27.6,19.35,242.58
Irará (BA),73.53,17.8,25.47,308.34
Irati (PR),75.11,13.4,4.84,685.81
Irati (SC),75.15,13.4,12.39,601.25
Irauçuba (CE),70.28,25.6,30.66,211.75
Irecê (BA),71.53,23,14.36,488.15
Iretama (PR),73.67,14.6,18.17,608.11
Irineópolis (SC),75.17,13.3,7.53,708.34
Irituia (PA),70.75,24.7,21.43,224.25
Irupi (ES),72.9,17.1,19.84,481.28
Isaías Coelho (PI),71,24.9,37.88,397.98
Israelândia (GO),74.88,13.3,13.78,498.82
Itaara (RS),75.46,12.1,6.08,913.96
Itabaiana (PB),68.63,31.8,29.14,319.34
Itabaiana (SE),73.03,15.52,23.46,443.39
Itabaianinha (SE),70.66,25.6,32.31,253.22
Itabela (BA),70.08,27.2,28.06,365.39
Itaberaba (BA),71.12,24.1,19.2,422.79
Itaberaí (GO),74.65,13.7,11.08,773.67
Itaberá (SP),73.18,17.7,9.25,462.03
Itabira (MG),77.37,11.18,6.69,744.61
Itabirinha (MG),75.3,14.9,21.79,390.33
Itabirito (MG),74.68,15.8,4.23,784.55
Itabi (SE),69.86,28,33.57,276.77
Itaboraí (RJ),73.75,15.04,6.98,584.35
Itabuna (BA),73.42,18.1,10.94,605.12
Itacajá (TO),72.87,18.8,19.37,304.55
Itacambira (MG),72.44,19.6,17.5,277.92
Itacarambi (MG),72.22,20,19.43,321.22
Itacaré (BA),73.42,18.1,24.63,323.3
Itacoatiara (AM),73.66,15.31,9.94,373.71
Itacuruba (PE),67.7,34.4,23.05,271.71
Itacurubi (RS),73.25,15.2,8.89,593.23
Itaeté (BA),68.15,33.4,29.27,224.79
Itagibá (BA),71.2,23.9,28.46,270.27
Itagi (BA),66.62,38.9,33.68,234.8
Itagimirim (BA),74.24,16.2,30.16,339.65
Itaguaçu da Bahia (BA),69.42,29.2,31.41,245.68
Itaguaçu (ES),73.1,16.8,14.21,522.25
Itaguaí (RJ),73.84,15.7,5.76,635.5
Itaguajé (PR),72.43,17.5,12.3,523.98
Itaguara (MG),75.14,15.1,8.57,610.65
Itaguari (GO),74.02,14.5,15.97,560.17
Itaguaru (GO),74.65,13.6,15,580.67
Itaguatins (TO),72.94,18.6,26.72,281.62
Itaíba (PE),66.25,39.7,42.95,218.32
Itaiçaba (CE),70.5,25,24.52,296.81
Itainópolis (PI),68.5,32.7,39.91,237.76
Itaiópolis (SC),75.17,13.3,4.99,625.36
Itaipava do Grajaú (MA),68.58,34.1,37.46,136.77
Itaipé (MG),70.52,23.2,27.2,277.8
Itaipulândia (PR),75.87,11.6,8.18,1019.87
Itaí (SP),74.77,15.1,8.76,594.77
Itaitinga (CE),71.05,23.4,18.53,300.15
Itaituba (PA),72.97,17.29,15.13,440.6
Itajá (GO),75.08,13.1,11.6,592.1
Itajaí (SC),78.02,10.2,3.13,1014
Itajá (RN),71.11,23.5,27.39,306
Itajobi (SP),74.94,14.8,8,739.45
Itajubá (MG),78.06,10.5,4.14,948.2
Itaju do Colônia (BA),68.45,32.4,27.77,276.93
Itajuípe (BA),70.52,25.8,23.42,354.2
Itaju (SP),74.39,15.7,8.12,609.08
Italva (RJ),72.52,17.7,11.61,593.88
Itamaraju (BA),71.04,24.3,23.98,432.95
Itamarandiba (MG),72.86,18.8,20.55,374.21
Itamarati (AM),71.32,21.8,40.71,214.95
Itamarati de Minas (MG),75.45,14.6,7.94,540.7
Itamari (BA),67.77,34.7,30.39,325
Itambacuri (MG),72.05,20.3,23.02,370.48
Itambaracá (PR),72.34,16.6,16.43,499.63
Itambé (BA),69.99,27.4,26.75,312.32
Itambé do Mato Dentro (MG),74.39,16.3,20.41,345.17
Itambé (PE),68.59,31.4,32.9,271
Itambé (PR),76.26,11.1,12.54,588.49
Itamogi (MG),73.61,17.6,11.38,502.2
Itamonte (MG),76.17,13.6,6.38,604.91
Itanagra (BA),72.73,19.8,27.19,289.16
Itanhaém (SP),74.36,15.7,6.2,690.67
Itanhandu (MG),77.23,12.1,4.88,706.47
Itanhangá (MT),76.37,13.3,8.59,620.06
Itanhém (BA),72.41,20.6,26.72,388.04
Itanhomi (MG),74.85,15.6,18.76,474.77
Itaobim (MG),72.19,20,22.6,362.88
Itaocara (RJ),74.18,15.2,11.66,607.18
Itaóca (SP),72.2,19.4,16.94,395.32
Itapaci (GO),75.61,12.4,13.88,705.2
Itapagé (CE),70.57,24.8,25.47,263.18
Itapagipe (MG),76.64,12.9,6.84,741.95
Itaparica (BA),74.56,15.4,8.03,476.99
Itapé (BA),70.66,25.4,24.93,285.13
Itapebi (BA),68.08,33.6,32.14,273.69
Itapecerica da Serra (SP),76.09,13.01,5.96,619.82
Itapecerica (MG),75.73,14.2,11.71,594.71
Itapecuru Mirim (MA),69.81,30,29.42,221.87
Itapejara D'Oeste (PR),74.67,13.2,7.85,674.12
Itapema (SC),77.86,9.9,2.96,1078.48
Itapemirim (ES),73.5,16.2,12.34,428.61
Itaperuçu (PR),71.72,17.5,11.75,468.04
Itaperuna (RJ),75.24,12.66,8.01,688.83
Itapetim (PE),67.25,36,27.27,331.14
Itapetinga (BA),72.39,20.7,15.81,506.76
Itapetininga (SP),76.86,11.95,4.92,741.64
Itapeva (MG),77.69,11.5,10.97,620.04
Itapeva (SP),73.18,17.7,6.67,630.48
Itapevi (SP),76.28,12.5,5.75,575.72
Itapicuru (BA),67.63,35.2,41.92,185.7
Itapipoca (CE),70.63,24.6,24.74,264.08
Itapiranga (AM),72.54,18.7,9.26,321.94
Itapiranga (SC),75.5,12.9,3.47,942.44
Itapirapuã (GO),73.95,14.6,17.73,518.21
Itapirapuã Paulista (SP),73.96,16.4,14.23,323.42
Itapira (SP),76.1,13.1,6.05,849.81
Itapiratins (TO),72.77,19.1,20.92,357.54
Itapissuma (PE),70.85,24.4,19.79,312.47
Itapitanga (BA),70.81,25,27.63,225.1
Itapiúna (CE),71.49,22.3,33.35,209.53
Itapoá (SC),77.41,10.4,4.06,793.24
Itápolis (SP),75.14,14.5,7.33,787.75
Itaporã do Tocantins (TO),75.53,12.9,20.47,363.13
Itaporã (MS),73.54,20.4,12.91,487.51
Itaporanga D'Ajuda (SE),71.72,22.6,26.54,242.62
Itaporanga (PB),69.54,28.8,24.26,349.02
Itaporanga (SP),75.11,14.6,11.39,552.76
Itapororoca (PB),70.41,26.2,36.02,235.44
Itapuã do Oeste (RO),70.08,25.7,14.24,411.36
Itapuca (RS),75.02,12.7,9.85,660.33
Itapuí (SP),75.47,14,6.24,687.46
Itapuranga (GO),75.22,12.9,15.17,621.79
Itapura (SP),73.75,16.7,12.12,556.29
Itaquaquecetuba (SP),75.66,15.5,6.04,502.85
Itaquara (BA),70.75,25.2,36.64,229.04
Itaquiraí (MS),71.3,25,18.25,442.57
Itaqui (RS),75.6,12,6.58,576.71
Itaquitinga (PE),67.87,33.8,29.71,251.09
Itarana (ES),73.51,16.2,10.7,607.49
Itarantim (BA),70.93,24.6,24.73,352.74
Itararé (SP),73.18,17.7,7.01,510.2
Itarema (CE),70.2,25.9,29.46,214.89
Itariri (SP),75.21,14.4,10.02,434.58
Itarumã (GO),76.63,12.4,13.22,960.55
Itá (SC),77.73,10,6.45,836.69
Itatiaia (RJ),75.16,13.8,6.16,773.48
Itatiaiuçu (MG),75,15.3,10.23,490.54
Itatiba do Sul (RS),73.03,15.6,12.15,607.67
Itatiba (SP),75.64,14.09,4.07,1080.74
Itatim (BA),71.93,21.8,25.19,245.37
Itatinga (SP),75.44,14.1,8.67,568.58
Itatira (CE),69.79,27.1,35.73,196.02
Itati (RS),74.61,13.3,13.67,592.8
Itatuba (PB),69.51,28.9,40.76,244.16
Itaubal (AP),70.46,23.3,15.45,213.26
Itaúba (MT),73.53,17.7,13.92,680.94
Itauçu (GO),75,13.2,12.92,611.99
Itaú de Minas (MG),76.74,12.8,5.24,913.39
Itaueira (PI),68.64,32.2,29.65,321.64
Itaúna do Sul (PR),72.89,15.7,20.77,460.51
Itaúna (MG),76.02,14.68,4.42,847.74
Itaú (RN),68.62,31,23.93,310.63
Itaverava (MG),73.63,17.5,16.82,363.06
Itinga do Maranhão (MA),70.85,26.7,25.55,336.91
Itinga (MG),72.83,18.9,24.12,260
Itiquira (MT),73.73,17.4,7.71,602.03
Itirapina (SP),73.77,16.7,9.13,772.14
Itirapuã (SP),74.55,15.4,9.17,526.62
Itiruçu (BA),70.7,25.3,26.43,309.83
Itiúba (BA),71.47,23.1,28.54,205.18
Itobi (SP),74.19,16,8.64,611.41
Itororó (BA),69.31,29.5,26.17,330
Ituaçu (BA),71.22,23.8,27.75,269.3
Ituberá (BA),71.11,24.1,22.14,337.03
Itueta (MG),74.51,16.1,16.41,429.77
Ituiutaba (MG),75.37,14.2,8.94,824.46
Itumbiara (GO),75.3,13.46,8.31,821.43
Itumirim (MG),75.39,14.7,6.29,533.39
Itupeva (SP),75.63,12.7,4.94,848.65
Itupiranga (PA),69.73,27.7,25.13,234.25
Ituporanga (SC),77.58,10.2,4.93,844.05
Iturama (MG),75.88,14,9.23,753.23
Itu (SP),76.23,12.9,4.67,1038.14
Itutinga (MG),77.67,11.5,6.9,634.33
Ituverava (SP),75.47,12.9,6.9,950.39
Iuiú (BA),69.37,29.4,28.57,249.32
Iúna (ES),74.74,14.4,16.24,501.21
Ivaiporã (PR),74.63,13.2,12.32,666.73
Ivaí (PR),72.48,17.4,8.96,469.13
Ivaté (PR),73.2,16.2,10.87,563.82
Ivatuba (PR),75.2,12.4,8.33,699.09
Ivinhema (MS),75.98,16.1,10.62,685.17
Ivolândia (GO),74.52,13.8,14.92,551.05
Ivorá (RS),78.13,8.9,5.17,670.27
Ivoti (RS),75.88,11.6,1.96,1025.02
Jaboatão dos Guararapes (PE),74.82,15.95,9.62,593.9
Jaborandi (BA),72.44,20.5,27.82,281.14
Jaborandi (SP),75.71,13.7,8.18,548.22
Jaborá (SC),73.06,16.5,7.71,831.84
Jaboticabal (SP),76.08,13.1,5.16,1015.51
Jaboticaba (RS),74.2,13.9,12.92,419.41
Jaboticatubas (MG),75.19,15,11.53,602.48
Jaboti (PR),74.61,13.2,12.21,618.6
Jaçanã (RN),71.35,22.8,30.06,259.77
Jacaraci (BA),69.48,29,27.7,283.51
Jacaraú (PB),68.18,33.3,35.78,250.76
Jacareacanga (PA),73,18.35,29.01,289.16
Jacaré dos Homens (AL),70.54,27.8,30.52,235.11
Jacareí (SP),75.2,12.51,3.95,846.53
Jacarezinho (PR),75.61,11.9,9.63,770.55
Jaciara (MT),74.96,15.4,10.69,742.81
Jacinto Machado (SC),74.06,14.9,8.08,655.7
Jacinto (MG),73.4,17.9,29.39,325.42
Jaci (SP),74.05,16.2,9.27,624.57
Jacobina (BA),71.29,23.6,18.86,417.88
Jacobina do Piauí (PI),68.45,32.9,38.9,190.04
Jacuí (MG),73.61,17.6,11.32,558.14
Jacuípe (AL),70.32,28.5,33.57,219.52
Jacuizinho (RS),73.99,14.2,12.76,750.68
Jacundá (PA),70.14,26.5,17.37,399.45
Jacupiranga (SP),74.89,14.9,9.93,574.52
Jacutinga (MG),76.82,12.7,7.52,717.25
Jacutinga (RS),76.3,11.1,6.72,636.24
Jaguapitã (PR),75.03,12.7,11.49,681.75
Jaguaquara (BA),69.81,28,28.85,307.08
Jaguaraçu (MG),76.35,13.3,10.95,508.65
Jaguarão (RS),74.89,12.9,6.93,616.82
Jaguarari (BA),73.33,18.3,19.25,439.23
Jaguaré (ES),73.59,16.1,14.76,543.6
Jaguaretama (CE),71.56,22.1,30.78,247.85
Jaguariaíva (PR),76.54,10.8,7.38,616.79
Jaguaribara (CE),69.1,29.2,27.76,287.08
Jaguaribe (CE),70.6,24.7,27.44,294.97
Jaguaripe (BA),70.8,25,30.71,247.75
Jaguari (RS),76.93,10.3,6.12,772.25
Jaguariúna (SP),76.74,11.2,4.5,1038.61
Jaguaruana (CE),71.72,21.6,29.15,274.9
Jaguaruna (SC),74.8,13.8,6.83,701.05
Jaíba (MG),72.33,19.8,20.02,376.73
Jaicós (PI),67.55,36,40.91,254.28
Jales (SP),76.32,11.8,5.9,850.11
Jambeiro (SP),76.61,12.4,7.53,738.52
Jampruca (MG),71.86,20.6,24.76,344.6
Janaúba (MG),72.74,19,15.42,468.29
Jandaia do Sul (PR),73.04,15.5,7.79,803.28
Jandaia (GO),74.28,14.2,14.11,586.84
Jandaíra (BA),69.93,27.6,29.87,192.11
Jandaíra (RN),67.54,34.7,35.51,261.85
Jandira (SP),75.46,15.28,4.69,792.33
Janduís (RN),71.53,22.3,29.61,272.39
Jangada (MT),73.28,18.2,22.15,271.99
Janiópolis (PR),74.58,13.3,18.99,577.55
Januária (MG),74.22,16.6,18.95,359.19
Januário Cicco (RN),71.28,23,38.33,192.34
Japaraíba (MG),75.62,14.4,7.51,541.09
Japaratinga (AL),69.1,32.4,32,260.92
Japaratuba (SE),70.39,26.4,22.42,296.93
Japeri (RJ),73.51,16.2,7.58,420.15
Japira (PR),74.61,13.2,11.76,534.19
Japi (RN),68.58,31.1,37.27,214.04
Japoatã (SE),67.01,37.7,33.02,246.68
Japonvar (MG),72.17,20.1,24.38,254.77
Japorã (MS),72.44,22.6,25.57,241.32
Japurá (AM),69.85,25.9,29.28,248.6
Japurá (PR),74.75,13.9,9.41,615.19
Jaqueira (PE),70.07,26.7,35.71,256.76
Jaquirana (RS),71.73,17.7,11.76,392.53
Jaraguá do Sul (SC),76.92,10.21,1.85,1111.85
Jaraguá (GO),75.43,12.6,10.34,595.02
Jaraguari (MS),74.62,18.4,9.94,511.64
Jaramataia (AL),67.08,39.7,42.28,219.1
Jardim Alegre (PR),74.63,13.2,16.31,608.16
Jardim (CE),71.72,21.6,28.46,241.09
Jardim de Angicos (RN),69.37,28.6,28.68,255.49
Jardim de Piranhas (RN),72.49,19.8,27.35,314.6
Jardim do Mulato (PI),67.68,35.5,31.81,219.06
Jardim do Seridó (RN),71.31,22.9,19.57,447.53
Jardim (MS),75.68,16.6,8.54,697.92
Jardim Olinda (PR),72.43,17.5,13.5,515.05
Jardinópolis (SC),74.37,14.5,9.78,654.02
Jardinópolis (SP),76.15,13,5.65,742.74
Jarinu (SP),74.53,15.5,7.61,718.61
Jari (RS),75.14,12.6,8.15,418.18
Jaru (RO),74.51,14.6,11.49,575.14
Jataí (GO),76.35,11.75,7.59,987.04
Jataizinho (PR),75.7,11.8,11.15,514.94
Jataúba (PE),67.74,34.3,37.21,244.26
Jateí (MS),76.39,15.4,13.51,690.71
Jati (CE),71.58,22,28.35,264.55
Jatobá do Piauí (PI),71.8,22.6,32.62,209.21
Jatobá (MA),67.1,39.5,35.53,206.58
Jatobá (PE),71.52,22.6,24.31,342.33
Jaú do Tocantins (TO),73.89,16.4,14.22,523.53
Jaupaci (GO),74.42,14,17.52,479.14
Jauru (MT),73.7,17.5,18.64,511.39
Jaú (SP),78.13,9.6,4.92,951.17
Jeceaba (MG),75.66,14.3,8.53,401.99
Jenipapo de Minas (MG),72.59,19.3,25.5,309.77
Jenipapo dos Vieiras (MA),70.96,26.4,36.92,127.24
Jequeri (MG),72.61,19.3,17.33,348.73
Jequiá da Praia (AL),71.32,25.4,30.67,199.39
Jequié (BA),72.42,21.76,16.85,473.92
Jequitaí (MG),72.79,19,21.65,345.53
Jequitibá (MG),76.26,13.5,10.11,1007.03
Jequitinhonha (MG),73.99,16.9,27.33,376.03
Jeremoabo (BA),66.36,39.9,34.84,262.76
Jericó (PB),72.85,19.4,30.64,290.17
Jeriquara (SP),73.86,16.6,10.61,549.1
Jerônimo Monteiro (ES),75.61,13.2,13.85,566.32
